prompt,optionA,optionB,optionC,optionD,answerIndex,typeId,explanation
中国面积最大的省级行政区是哪个？,新疆,西藏,内蒙古,青海,1,11,新疆维吾尔自治区面积约166万平方公里，占中国国土面积的六分之一。
世界上最大的海洋是哪个？,大西洋,印度洋,太平洋,北冰洋,3,11,太平洋面积约1.65亿平方公里，占地球表面积的三分之一。
中国最长的河流是哪条？,黄河,长江,珠江,淮河,2,11,长江全长约6300公里，是世界第三长河。
赤道经过以下哪个国家？,巴西,澳大利亚,南非,日本,1,11,巴西是赤道经过的最大国家。
世界上海拔最高的山峰是哪座？,乔戈里峰,干城章嘉峰,珠穆朗玛峰,洛子峰,3,11,珠穆朗玛峰海拔8848.86米，位于中尼边境。
中国哪个省份被称为天府之国？,湖南,江苏,四川,浙江,3,11,四川盆地气候温和、物产丰富，自古有天府之国的美誉。
世界上面积最小的国家是哪个？,摩纳哥,梵蒂冈,圣马力诺,列支敦士登,2,11,梵蒂冈面积仅0.44平方公里。
黄河注入哪个海？,东海,南海,渤海,黄海,3,11,黄河在山东省东营市注入渤海。
非洲最高的山峰是哪座？,乞力马扎罗山,阿特拉斯山,德拉肯斯山脉,肯尼亚山,1,11,乞力马扎罗山海拔5895米，是非洲最高峰。
中国最大的咸水湖是哪个？,洞庭湖,鄱阳湖,太湖,青海湖,4,11,青海湖位于青海省，是中国最大的咸水湖。
巴拿马运河连接哪两个大洋？,大西洋和印度洋,太平洋和大西洋,太平洋和印度洋,北冰洋和太平洋,2,11,巴拿马运河横贯巴拿马地峡，缩短了太平洋与大西洋之间的航程。
中国五大淡水湖中面积最大的是？,洞庭湖,太湖,洪泽湖,鄱阳湖,4,11,鄱阳湖位于江西省北部，是中国第一大淡水湖。
地中海位于哪些板块交界处？,太平洋与美洲,亚欧与非洲,印度洋与太平洋,南极与非洲,2,11,地中海位于亚欧板块与非洲板块交界处，地质活动频繁。
中国最大的岛屿是哪个？,海南岛,台湾岛,崇明岛,舟山群岛,2,11,台湾岛面积约3.6万平方公里，是中国第一大岛。
中国历史上第一个统一的封建王朝是哪个？,夏朝,商朝,秦朝,周朝,3,10,公元前221年秦始皇统一六国，建立中国第一个中央集权王朝。
第一次世界大战爆发于哪一年？,1912年,1914年,1916年,1918年,2,10,1914年萨拉热窝事件引发一战。
焚书坑儒发生在哪个朝代？,商朝,秦朝,汉朝,隋朝,2,10,秦始皇为统一思想，焚烧诸子百家著作并坑杀儒生。
